sut,mutant_id,fault_class,mr_id,mr_meta_pattern,trial_id,killed,residual,tolerance,seed,status
OpenMC,Mut03,geometry_radius_fault,P9_MR1_k_eff_physical_window,m_mono,seed2,false,0,0,2,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR2_enrichment_monotonicity,m_mono,seed2,false,0.01929186545,0.005,2,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR3_statistics_convergence,m_conv,seed2,false,0.2967409018,0.35,2,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR4_geometry_sensitivity,m_traj,seed2,true,0.01929186545,0.01,2,killed
OpenMC,Mut03,geometry_radius_fault,P9_MR5_identity_stability,m_inv,seed2,false,0.01929186545,0.006,2,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR1_k_eff_physical_window,m_mono,seed2,true,0.5821604571,0,2,killed
OpenMC,Mut04,boundary_condition_fault,P9_MR2_enrichment_monotonicity,m_mono,seed2,false,1.439165717,0.005,2,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR3_statistics_convergence,m_conv,seed2,false,0,0.35,2,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR4_geometry_sensitivity,m_traj,seed2,true,1.439165717,0.01,2,killed
OpenMC,Mut04,boundary_condition_fault,P9_MR5_identity_stability,m_inv,seed2,false,1.439165717,0.006,2,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR1_k_eff_physical_window,m_mono,seed2,false,0,0,2,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR2_enrichment_monotonicity,m_mono,seed2,false,0.0009949226054,0.005,2,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR3_statistics_convergence,m_conv,seed2,true,0.4539405363,0.35,2,killed
OpenMC,Mut05,particle_statistics_fault,P9_MR4_geometry_sensitivity,m_traj,seed2,false,0.0009949226054,0.01,2,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR5_identity_stability,m_inv,seed2,false,0.0009949226054,0.006,2,survived
OpenMC,Mut00,baseline_control,P9_MR1_k_eff_physical_window,m_mono,seed3,false,0,0,3,survived
OpenMC,Mut00,baseline_control,P9_MR2_enrichment_monotonicity,m_mono,seed3,false,0,0.005,3,survived
OpenMC,Mut00,baseline_control,P9_MR3_statistics_convergence,m_conv,seed3,false,0,0.35,3,survived
OpenMC,Mut00,baseline_control,P9_MR4_geometry_sensitivity,m_traj,seed3,false,0,0.01,3,survived
OpenMC,Mut00,baseline_control,P9_MR5_identity_stability,m_inv,seed3,false,0,0.006,3,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR1_k_eff_physical_window,m_mono,seed3,false,0,0,3,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR2_enrichment_monotonicity,m_mono,seed3,true,0.02236664775,0.005,3,killed
OpenMC,Mut01,fuel_enrichment_fault,P9_MR3_statistics_convergence,m_conv,seed3,false,0.3415411985,0.35,3,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR4_geometry_sensitivity,m_traj,seed3,false,0.02236664775,0.01,3,survived
OpenMC,Mut01,fuel_enrichment_fault,P9_MR5_identity_stability,m_inv,seed3,false,0.02236664775,0.006,3,survived
OpenMC,Mut02,moderator_density_fault,P9_MR1_k_eff_physical_window,m_mono,seed3,false,0,0,3,survived
OpenMC,Mut02,moderator_density_fault,P9_MR2_enrichment_monotonicity,m_mono,seed3,false,0.02087411072,0.005,3,survived
OpenMC,Mut02,moderator_density_fault,P9_MR3_statistics_convergence,m_conv,seed3,false,0.3990616748,0.35,3,survived
OpenMC,Mut02,moderator_density_fault,P9_MR4_geometry_sensitivity,m_traj,seed3,true,0.02087411072,0.01,3,killed
OpenMC,Mut02,moderator_density_fault,P9_MR5_identity_stability,m_inv,seed3,false,0.02087411072,0.006,3,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR1_k_eff_physical_window,m_mono,seed3,false,0,0,3,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR2_enrichment_monotonicity,m_mono,seed3,false,0.01946866951,0.005,3,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR3_statistics_convergence,m_conv,seed3,false,0.2511064521,0.35,3,survived
OpenMC,Mut03,geometry_radius_fault,P9_MR4_geometry_sensitivity,m_traj,seed3,true,0.01946866951,0.01,3,killed
OpenMC,Mut03,geometry_radius_fault,P9_MR5_identity_stability,m_inv,seed3,false,0.01946866951,0.006,3,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR1_k_eff_physical_window,m_mono,seed3,true,0.5819980948,0,3,killed
OpenMC,Mut04,boundary_condition_fault,P9_MR2_enrichment_monotonicity,m_mono,seed3,false,1.437219793,0.005,3,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR3_statistics_convergence,m_conv,seed3,false,0,0.35,3,survived
OpenMC,Mut04,boundary_condition_fault,P9_MR4_geometry_sensitivity,m_traj,seed3,true,1.437219793,0.01,3,killed
OpenMC,Mut04,boundary_condition_fault,P9_MR5_identity_stability,m_inv,seed3,false,1.437219793,0.006,3,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR1_k_eff_physical_window,m_mono,seed3,false,0,0,3,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR2_enrichment_monotonicity,m_mono,seed3,false,0.004459299343,0.005,3,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR3_statistics_convergence,m_conv,seed3,true,0.3831807301,0.35,3,killed
OpenMC,Mut05,particle_statistics_fault,P9_MR4_geometry_sensitivity,m_traj,seed3,false,0.004459299343,0.01,3,survived
OpenMC,Mut05,particle_statistics_fault,P9_MR5_identity_stability,m_inv,seed3,false,0.004459299343,0.006,3,survived

